,stuck,oob,success,dnf,not_progressing,lap_times,episode,pct_complete,total_time,total_distance,average_speed_kph,average_displacement_error,trajectory_efficiency,trajectory_admissibility,movement_smoothness,timestep/sec
58,False,True,False,False,False,[],1059,0.3,8.44,35.1,14.98,2.39,0.148,0.632,5.667,8.77
59,False,True,False,False,False,[],1060,0.3,7.42,36.17,17.55,1.85,0.189,0.698,6.027,8.76
60,False,True,False,False,False,[],1061,0.4,10.13,48.06,17.08,1.85,0.195,0.72,7.314,8.78
61,False,True,False,False,False,[],1062,0.3,10.91,38.82,12.81,1.11,0.184,0.799,6.053,8.8
62,False,True,False,False,False,[],1063,0.5,15.41,58.42,13.64,1.84,0.012,0.809,6.738,8.5
63,False,True,False,False,False,[],1064,0.3,7.3,32.46,16.01,1.66,0.214,0.75,5.884,8.77
64,False,True,False,False,False,[],1065,0.2,9.47,27.96,10.63,1.33,0.02,0.785,4.522,8.76
65,False,True,False,False,False,[],1066,0.2,6.93,23.07,11.98,1.94,0.185,0.716,6.074,8.8
66,False,True,False,False,False,[],1067,0.2,7.32,21.7,10.67,1.65,0.001,0.783,5.571,8.74
67,False,True,False,False,False,[],1068,0.4,18.08,48.64,9.69,1.43,0.001,0.804,6.81,8.52
68,False,True,False,False,False,[],1069,0.2,11.93,23.58,7.12,1.59,0.003,0.862,5.772,8.8
69,False,True,False,False,False,[],1070,0.4,12.23,41.53,12.23,2.89,0.002,0.617,7.134,8.83
70,False,True,False,False,False,[],1071,0.4,8.81,43.85,17.92,1.57,0.195,0.719,6.796,8.74
71,False,True,False,False,False,[],1072,0.1,4.19,16.48,14.17,1.87,0.146,0.714,5.167,8.84
72,False,True,False,False,False,[],1073,0.2,5.67,27.54,17.49,1.89,0.175,0.755,5.175,8.82
73,False,True,False,False,False,[],1074,0.4,10.0,56.82,20.45,1.53,0.09,0.817,6.291,8.8
74,False,True,False,False,False,[],1075,0.3,7.17,36.02,18.09,2.14,0.209,0.666,6.525,8.79
75,False,True,False,False,False,[],1076,0.2,5.67,21.24,13.48,1.7,0.171,0.755,5.202,8.82
76,False,True,False,False,False,[],1077,0.2,7.12,23.15,11.71,2.0,0.005,0.75,6.067,8.85
77,False,True,False,False,False,[],1078,0.4,8.74,48.84,20.13,1.77,0.194,0.838,6.782,8.81
78,False,True,False,False,False,[],1079,0.1,4.99,16.3,11.75,1.87,0.156,0.738,4.551,8.81
79,False,True,False,False,False,[],1080,0.1,8.18,17.75,7.82,1.81,0.008,0.737,5.637,8.81
80,False,True,False,False,False,[],1081,0.3,7.39,29.3,14.27,2.09,0.188,0.674,5.486,8.79
81,False,True,False,False,False,[],1082,0.2,5.97,23.83,14.36,2.46,0.167,0.637,5.844,8.87
82,False,True,False,False,False,[],1083,0.3,9.26,43.85,17.05,1.48,0.183,0.73,5.446,8.86
83,False,True,False,False,False,[],1084,0.5,11.47,55.41,17.38,1.47,0.012,0.801,7.343,8.8
84,False,True,False,False,False,[],1085,0.2,8.03,24.16,10.83,2.41,0.01,0.664,5.096,8.22
85,False,True,False,False,False,[],1086,0.2,9.71,23.04,8.55,1.86,0.054,0.735,6.251,8.76
86,False,True,False,False,False,[],1087,0.3,7.86,31.76,14.55,2.25,0.172,0.79,6.659,8.78
87,False,True,False,False,False,[],1088,0.1,5.38,18.16,12.14,1.97,0.17,0.705,5.313,8.73
88,False,True,False,False,False,[],1089,0.9,18.99,106.12,20.11,1.5,0.162,0.744,8.602,8.79
89,False,True,False,False,False,[],1090,0.3,14.53,47.08,11.67,1.53,0.166,0.8,6.656,8.47
90,False,True,False,False,False,[],1091,0.2,9.32,22.34,8.63,2.01,0.174,0.844,5.956,8.79
91,False,True,False,False,False,[],1092,0.2,10.79,23.34,7.79,2.06,0.157,0.693,5.929,8.8
92,False,True,False,False,False,[],1093,0.3,18.12,32.97,6.55,1.5,0.003,0.765,6.822,8.77
93,False,True,False,False,False,[],1094,0.5,31.48,57.16,6.54,1.89,0.001,0.74,8.063,8.67
94,False,True,False,False,False,[],1095,0.5,16.46,53.26,11.65,1.07,0.196,0.796,6.598,8.81
95,False,True,False,False,False,[],1096,0.4,24.86,50.54,7.32,1.22,0.007,0.848,7.449,8.81
96,False,True,False,False,False,[],1097,0.2,11.17,27.55,8.88,1.78,0.13,0.796,5.517,8.78
97,False,False,False,False,True,[],1098,0.3,34.55,44.89,4.68,0.99,0.034,1.0,7.527,8.65
98,False,True,False,False,False,[],1099,0.5,22.0,58.95,9.65,1.92,0.002,0.773,6.498,8.77
99,False,True,False,False,False,[],1100,0.2,11.29,22.58,7.2,1.77,0.001,0.776,6.36,8.77
100,False,True,False,False,False,[],1101,0.2,8.76,20.22,8.31,1.78,0.156,0.773,6.445,8.79
101,False,True,False,False,False,[],1102,0.2,7.97,21.95,9.91,2.35,0.002,0.686,5.799,8.28
102,False,True,False,False,False,[],1103,0.3,10.09,39.61,14.13,1.59,0.022,0.817,6.852,8.82
103,False,True,False,False,False,[],1104,0.5,11.56,52.14,16.24,1.53,0.201,0.736,6.605,8.83
104,False,True,False,False,False,[],1105,0.2,5.94,28.04,17.0,2.17,0.205,0.632,5.488,8.76
105,False,True,False,False,False,[],1106,0.2,5.89,22.11,13.51,1.65,0.172,0.661,4.552,8.83
106,False,True,False,False,False,[],1107,0.3,7.83,31.4,14.44,1.68,0.178,0.833,6.583,8.82
107,False,True,False,False,False,[],1108,0.5,12.53,58.09,16.69,1.76,0.175,0.812,7.766,8.86
108,False,True,False,False,False,[],1109,0.1,8.87,18.37,7.45,1.69,0.022,0.773,5.296,8.79
109,False,True,False,False,False,[],1110,0.2,8.76,26.09,10.72,1.46,0.177,0.804,6.171,8.79
110,False,True,False,False,False,[],1111,0.2,8.52,22.05,9.31,1.71,0.024,0.743,6.059,8.8
111,False,True,False,False,False,[],1112,0.3,14.86,34.24,8.3,1.75,0.022,0.739,6.465,8.82
112,False,True,False,False,False,[],1113,0.2,10.0,22.16,7.98,1.77,0.005,0.789,6.391,8.7
113,False,True,False,False,False,[],1114,0.2,8.98,29.17,11.69,1.69,0.171,0.75,6.67,8.8
114,False,True,False,False,False,[],1115,0.2,7.48,33.55,16.16,1.78,0.185,0.789,5.083,8.83
115,False,True,False,False,False,[],1116,0.4,7.93,43.36,19.68,2.01,0.024,0.731,6.85,8.82
116,False,True,False,False,False,[],1117,0.3,8.49,32.89,13.95,1.96,0.189,0.717,6.112,8.83
117,False,True,False,False,False,[],1118,0.6,19.49,73.87,13.64,1.64,0.001,0.848,8.137,8.52
118,False,True,False,False,False,[],1119,0.2,14.16,22.98,5.84,1.43,0.004,0.846,6.776,8.76
119,False,True,False,False,False,[],1120,0.4,23.49,51.11,7.83,1.81,0.001,0.78,7.531,8.77
120,False,True,False,False,False,[],1121,0.5,18.2,55.97,11.07,1.91,0.028,0.734,7.527,8.79
121,False,True,False,False,False,[],1122,0.2,7.42,21.8,10.57,1.61,0.141,0.785,6.256,7.95
122,False,True,False,False,False,[],1123,0.2,9.92,26.56,9.64,2.09,0.174,0.762,5.629,8.77
123,False,True,False,False,False,[],1124,0.3,8.47,29.48,12.53,1.93,0.157,0.838,5.959,8.74
124,False,True,False,False,False,[],1125,0.3,10.18,38.66,13.67,1.94,0.143,0.722,6.215,8.74
125,False,True,False,False,False,[],1126,0.3,7.1,35.6,18.05,1.3,0.188,0.822,6.424,8.73
126,False,True,False,False,False,[],1127,0.3,7.82,38.09,17.54,1.27,0.002,0.791,5.124,8.7
127,False,True,False,False,False,[],1128,0.3,9.7,39.86,14.8,1.75,0.198,0.759,6.864,8.77
128,False,True,False,False,False,[],1129,0.4,8.29,47.88,20.79,1.3,0.218,0.741,6.867,8.8
129,False,True,False,False,False,[],1130,0.3,8.31,38.67,16.76,1.96,0.003,0.666,6.253,8.79
130,False,True,False,False,False,[],1131,0.5,10.0,53.45,19.23,1.03,0.047,0.816,5.819,8.8
131,False,True,False,False,False,[],1132,0.4,8.0,43.12,19.39,1.87,0.079,0.76,6.83,8.75
132,False,True,False,False,False,[],1133,0.4,6.73,43.17,23.08,2.65,0.211,0.627,6.784,8.76
133,False,True,False,False,False,[],1134,0.1,4.46,17.65,14.26,1.86,0.158,0.724,5.129,8.75
134,False,True,False,False,False,[],1135,0.2,6.14,21.14,12.41,1.95,0.05,0.695,5.968,8.8
135,False,True,False,False,False,[],1136,0.2,5.31,24.4,16.55,1.62,0.208,0.747,5.079,8.86
136,False,True,False,False,False,[],1137,1.2,19.26,140.82,26.32,1.45,0.02,0.847,8.608,8.83
137,False,True,False,False,False,[],1138,0.5,10.27,60.48,21.2,1.49,0.214,0.789,5.326,8.76
138,False,True,False,False,False,[],1139,0.2,8.99,18.91,7.57,1.39,0.019,0.839,5.216,8.79
139,False,True,False,False,False,[],1140,0.3,11.98,34.95,10.51,1.62,0.053,0.803,5.809,8.77
140,False,True,False,False,False,[],1141,0.9,18.29,102.09,20.1,1.98,0.175,0.841,8.211,8.75
141,False,True,False,False,False,[],1142,0.2,7.69,23.41,10.96,1.56,0.185,0.79,5.818,8.71
142,False,True,False,False,False,[],1143,0.6,13.66,74.43,19.62,1.22,0.183,0.819,6.673,8.86
